seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	115323162	115323173	12	*	X0070	80143	115312105	115323308	11204	-	0	inside	134	SIKE1
chr1	150898889	150898901	13	*	X0077	9869	150898815	150937220	38406	+	0	inside	73	SETDB1
chr1	153963162	153963412	251	*	X0079	6232	153963239	153964631	1393	+	0	overlapStart	0	RPS27
chr1	154193008	154193183	176	*	X0080	25912	154179183	154193273	14091	-	0	inside	89	C1orf43
chr1	155533013	155533173	161	*	X0082	55870	155305052	155532585	227534	-	427	upstream	427	ASH1L
chr1	156307032	156307063	32	*	X0083	128229	156307105	156316785	9681	+	41	upstream	41	TSACC
chr1	160312946	160313161	216	*	X0086	1314	160258377	160313354	54978	-	0	inside	192	COPA
chr1	160312946	160313161	216	*	X0086	23385	160313063	160328742	15680	+	0	overlapStart	0	NCSTN
chr1	160313266	160313327	62	*	X0087	1314	160258377	160313354	54978	-	0	inside	26	COPA
chr1	160313266	160313327	62	*	X0087	23385	160313063	160328742	15680	+	0	inside	202	NCSTN
chr1	173793535	173793572	38	*	X0095	55157	173793797	173827682	33886	+	224	upstream	224	DARS2
chr1	173793535	173793572	38	*	X0095	91687	173768688	173793777	25090	-	0	inside	204	CENPL
chr1	173793593	173793612	20	*	X0096	55157	173793797	173827682	33886	+	184	upstream	184	DARS2
chr1	173793593	173793612	20	*	X0096	91687	173768688	173793777	25090	-	0	inside	164	CENPL
chr1	173837004	173837086	83	*	X0097	26806	173835106	173835166	61	-	1837	upstream	1837	SNORD44
chr1	173837004	173837086	83	*	X0097	60674	173833039	173837125	4087	-	0	inside	38	GAS5
chr1	173837004	173837086	83	*	X0097	619498	173836812	173836883	72	-	120	upstream	120	SNORD74
chr1	173837004	173837086	83	*	X0097	692195	173836017	173836076	60	-	927	upstream	927	SNORD75
chr1	173837004	173837086	83	*	X0097	692196	173835773	173835853	81	-	1150	upstream	1150	SNORD76
chr1	173837004	173837086	83	*	X0097	692197	173835449	173835509	61	-	1494	upstream	1494	SNORD77
chr1	173837004	173837086	83	*	X0097	84614	173837220	173855774	18555	+	133	upstream	133	ZBTB37
chr1	173837147	173837164	18	*	X0098	26806	173835106	173835166	61	-	1980	upstream	1980	SNORD44
chr1	173837147	173837164	18	*	X0098	60674	173833039	173837125	4087	-	21	upstream	21	GAS5
chr1	173837147	173837164	18	*	X0098	619498	173836812	173836883	72	-	263	upstream	263	SNORD74
chr1	173837147	173837164	18	*	X0098	692195	173836017	173836076	60	-	1070	upstream	1070	SNORD75
chr1	173837147	173837164	18	*	X0098	692196	173835773	173835853	81	-	1293	upstream	1293	SNORD76
chr1	173837147	173837164	18	*	X0098	692197	173835449	173835509	61	-	1637	upstream	1637	SNORD77
chr1	173837147	173837164	18	*	X0098	84614	173837220	173855774	18555	+	55	upstream	55	ZBTB37
chr1	181057919	181058057	139	*	X0099	51278	181057638	181059979	2342	+	0	inside	280	IER5
chr1	193029278	193029278	1	*	X0105	51377	192981496	193029237	47742	-	40	upstream	40	UCHL5
chr1	203830948	203830954	7	*	X0111	6635	203830727	203840280	9554	+	0	inside	220	SNRPE
chr1	226186928	226187040	113	*	X0118	163859	226170403	226187066	16664	-	0	inside	25	SDE2
chr2	27273543	27273772	230	*	X0157	60509	27274491	27293490	19000	+	718	upstream	718	AGBL5
chr2	27273965	27274176	212	*	X0158	60509	27274491	27293490	19000	+	314	upstream	314	AGBL5
chr2	27440085	27440089	5	*	X0159	790	27440258	27466654	26397	+	168	upstream	168	CAD
chr2	27580021	27580052	32	*	X0160	2976	27548716	27579901	31186	-	119	upstream	119	GTF3C2
chr2	27580065	27580078	14	*	X0161	2976	27548716	27579901	31186	-	163	upstream	163	GTF3C2
chr2	38977548	38977574	27	*	X0163	79833	38978676	39009106	30431	+	1101	upstream	1101	GEMIN6
chr2	38978218	38978501	284	*	X0164	6432	38970741	38978636	7896	-	0	inside	134	SRSF7
chr2	38978218	38978501	284	*	X0164	79833	38978676	39009106	30431	+	174	upstream	174	GEMIN6
chr2	43452356	43452447	92	*	X0165	100129726	43454350	43455994	1645	+	1902	upstream	1902	LINC01126
chr2	47403440	47403799	360	*	X0169	285051	47293080	47403740	110661	-	0	overlapStart	0	STPG4
chr2	47403440	47403799	360	*	X0169	805	47387221	47403740	16520	-	0	overlapStart	0	CALM2
chr2	55459907	55459932	26	*	X0173	130162	55399687	55459699	60013	-	207	upstream	207	CLHC1
chr2	74425714	74425865	152	*	X0182	10797	74425690	74442424	16735	+	0	inside	23	MTHFD2
chr2	85766954	85767003	50	*	X0186	100630918	85764590	85766009	1420	-	944	upstream	944	PARTICL
chr2	86667679	86668122	444	*	X0187	55818	86668271	86719839	51569	+	148	upstream	148	KDM3A
chr2	96873892	96873917	26	*	X0199	285033	96874154	96908362	34209	+	236	upstream	236	STARD7-AS1
chr2	96971149	96971221	73	*	X0200	23020	96940074	96971307	31234	-	0	inside	85	SNRNP200
chr2	114737068	114737079	12	*	X0210	440900	114737146	114764887	27742	+	66	upstream	66	LINC01191
chr2	114737573	114737635	63	*	X0211	100499194	114735246	114737561	2316	-	11	upstream	11	LOC100499194
chr2	135676391	135676449	59	*	X0217	100129961	135624203	135676176	51974	-	214	upstream	214	CCNT2-AS1
chr2	135676391	135676449	59	*	X0217	905	135676392	135716915	40524	+	0	overlapStart	0	CCNT2
chr2	159314842	159314849	8	*	X0226	130940	159027869	159313265	285397	-	1576	upstream	1576	CCDC148
chr2	160569016	160569322	307	*	X0227	29994	160175490	160568946	393457	-	69	upstream	69	BAZ2B
chr2	160569016	160569322	307	*	X0227	64844	160569010	160625084	56075	+	0	inside	5	MARCHF7
chr2	160569373	160569387	15	*	X0228	29994	160175490	160568946	393457	-	426	upstream	426	BAZ2B
chr2	170219329	170219495	167	*	X0231	4036	169983619	170219122	235504	-	206	upstream	206	LRP2
chr2	170440600	170440674	75	*	X0232	9360	170440850	170494254	53405	+	175	upstream	175	PPIG
chr2	176046375	176046488	114	*	X0237	518	176040986	176046490	5505	-	0	inside	1	ATP5MC3
chr2	208394677	208394813	137	*	X0244	1385	208394616	208470284	75669	+	0	inside	60	CREB1
chr2	216879845	216879927	83	*	X0248	55686	216807314	216878346	71033	-	1498	upstream	1498	MREG
chr2	216974115	216974164	50	*	X0249	7520	216974020	217071016	96997	+	0	inside	94	XRCC5
chr2	217363639	217363747	109	*	X0250	6168	217363520	217366188	2669	+	0	inside	118	RPL37A
chr2	232328895	232328940	46	*	X0257	4691	232319459	232329205	9747	-	0	inside	264	NCL
chr2	234763149	234763186	38	*	X0259	55355	234745486	234763212	17727	-	0	inside	25	HJURP
chr2	234776911	234776960	50	*	X0260	151507	234774090	234777055	2966	-	0	inside	94	MSL3P1
chr3	23988026	23988030	5	*	X0273	28512	23933572	23988053	54482	-	0	inside	22	NKIRAS1
chr3	23988090	23988117	28	*	X0274	28512	23933572	23988053	54482	-	36	upstream	36	NKIRAS1
chr3	39448221	39448374	154	*	X0279	3921	39448204	39454032	5829	+	0	inside	16	RPSA
chr3	39448221	39448374	154	*	X0279	574040	39449882	39450030	149	+	1507	upstream	1507	SNORA6
chr3	39448405	39448425	21	*	X0280	3921	39448204	39454032	5829	+	0	inside	200	RPSA
chr3	39448405	39448425	21	*	X0280	574040	39449882	39450030	149	+	1456	upstream	1456	SNORA6
chr3	44771019	44771057	39	*	X0282	115560	44771098	44778575	7478	+	40	upstream	40	ZNF501
chr3	45730435	45730794	360	*	X0283	22908	45730754	45786900	56147	+	0	overlapStart	0	SACM1L
chr3	45730435	45730794	360	*	X0283	644714	45719657	45730374	10718	-	60	upstream	60	LIMD1-AS1
chr3	47204716	47204734	19	*	X0284	285352	47205860	47285606	79747	+	1125	upstream	1125	KIF9-AS1
chr3	47204759	47204761	3	*	X0285	285352	47205860	47285606	79747	+	1098	upstream	1098	KIF9-AS1
chr3	49066715	49066844	130	*	X0287	3615	49061762	49066875	5114	-	0	inside	30	IMPDH2
chr3	52029742	52030015	274	*	X0289	6159	52027644	52029958	2315	-	0	overlapStart	0	RPL29
chr3	52719949	52720115	167	*	X0290	26354	52719936	52728510	8575	+	0	inside	12	GNL3
chr3	52719949	52720115	167	*	X0290	55193	52579368	52719866	140499	-	82	upstream	82	PBRM1
chr3	53381396	53381414	19	*	X0291	55802	53317445	53381654	64210	-	0	inside	239	DCP1A
chr3	56717657	56717705	49	*	X0292	23272	56654160	56717135	62976	-	521	upstream	521	TASOR
chr3	57741915	57742163	249	*	X0293	7871	57743174	57914894	171721	+	1010	upstream	1010	SLMAP
chr3	62305158	62305377	220	*	X0295	100506994	62247494	62304622	57129	-	535	upstream	535	PTPRG-AS1
chr3	66024113	66024239	127	*	X0297	9223	65339906	66024509	684604	-	0	inside	269	MAGI1
chr3	66024410	66024441	32	*	X0298	9223	65339906	66024509	684604	-	0	inside	67	MAGI1
chr3	124449300	124449314	15	*	X0308	7372	124449213	124468119	18907	+	0	inside	86	UMPS
chr3	148804657	148804717	61	*	X0320	6596	148747904	148804341	56438	-	315	upstream	315	HLTF
chr3	149374682	149374699	18	*	X0321	100128025	149375997	149379149	3153	+	1297	upstream	1297	WWTR1-AS1
chr3	170587862	170588008	147	*	X0324	200916	170582665	170588045	5381	-	0	inside	36	RPL22L1
chr3	170626569	170626929	361	*	X0325	56648	170606204	170626426	20223	-	142	upstream	142	EIF5A2
chr3	185655550	185655941	392	*	X0332	6434	185632358	185655924	23567	-	0	overlapStart	0	TRA2B
chr3	185656213	185656227	15	*	X0333	6434	185632358	185655924	23567	-	288	upstream	288	TRA2B
chr3	186501312	186501550	239	*	X0334	1974	186501361	186507685	6325	+	0	overlapStart	0	EIF4A2
chr3	186501312	186501550	239	*	X0334	619567	186502585	186502654	70	+	1034	upstream	1034	SNORD2
chr3	186501778	186501833	56	*	X0335	619567	186502585	186502654	70	+	751	upstream	751	SNORD2
chr3	186501929	186502200	272	*	X0336	619567	186502585	186502654	70	+	384	upstream	384	SNORD2
chr3	197677049	197677154	106	*	X0347	6165	197677052	197682721	5670	+	0	overlapStart	0	RPL35A
chr4	2245484	2245582	99	*	X0351	353497	2073645	2243860	170216	-	1623	upstream	1623	POLN
chr4	2245484	2245582	99	*	X0351	79441	2229191	2243860	14670	-	1623	upstream	1623	HAUS3
chr4	2245654	2245781	128	*	X0352	353497	2073645	2243860	170216	-	1793	upstream	1793	POLN
chr4	2245654	2245781	128	*	X0352	79441	2229191	2243860	14670	-	1793	upstream	1793	HAUS3
chr4	6717797	6717816	20	*	X0360	55330	6717842	6719387	1546	+	25	upstream	25	BLOC1S4
chr4	17812344	17812374	31	*	X0362	54876	17802278	17812381	10104	-	0	inside	6	DCAF16
chr4	17812344	17812374	31	*	X0362	64151	17812436	17846487	34052	+	61	upstream	61	NCAPG
chr4	48833249	48833434	186	*	X0368	54940	48833060	48863834	30775	+	0	inside	188	OCIAD1
chr4	57303214	57303278	65	*	X0383	5471	57259529	57301802	42274	-	1411	upstream	1411	PPAT
chr4	57303342	57303440	99	*	X0384	5471	57259529	57301802	42274	-	1539	upstream	1539	PPAT
chr4	83294985	83295040	56	*	X0391	3184	83274467	83295149	20683	-	0	inside	108	HNRNPD
chr4	83295055	83295212	158	*	X0392	3184	83274467	83295149	20683	-	0	overlapStart	0	HNRNPD
chr4	83350254	83350323	70	*	X0393	58478	83351726	83382244	30519	+	1402	upstream	1402	ENOPH1
chr4	83350030	83350078	49	*	X0394	58478	83351726	83382244	30519	+	1647	upstream	1647	ENOPH1
chr4	83350431	83350538	108	*	X0395	58478	83351726	83382244	30519	+	1187	upstream	1187	ENOPH1
chr4	119199823	119199926	104	*	X0401	100093630	119199917	119200978	1062	+	0	overlapStart	0	SNHG8
chr4	119199823	119199926	104	*	X0401	677809	119200345	119200475	131	+	418	upstream	418	SNORA24
chr4	142054552	142054648	97	*	X0410	57484	141786725	142054616	267892	-	0	overlapStart	0	RNF150
chr4	152020682	152020964	283	*	X0411	6189	152020725	152025804	5080	+	0	overlapStart	0	RPS3A
chr4	174255424	174255476	53	*	X0415	3148	174252527	174255595	3069	-	0	inside	118	HMGB2
chr4	174255517	174255535	19	*	X0416	3148	174252527	174255595	3069	-	0	inside	59	HMGB2
chr5	1800075	1800228	154	*	X0433	4726	1801496	1816167	14672	+	1267	upstream	1267	NDUFS6
chr5	1800075	1800228	154	*	X0433	64979	1798499	1799956	1458	-	118	upstream	118	MRPL36
chr5	8457455	8457606	152	*	X0440	100505738	8457800	8463209	5410	+	193	upstream	193	MIR4458HG
chr5	8457455	8457606	152	*	X0440	729506	8333596	8457677	124082	-	0	inside	70	LINC02226
chr5	27472438	27472451	14	*	X0444	643401	27472399	27496508	24110	+	0	inside	38	PURPL
chr5	40835046	40835352	307	*	X0449	6167	40831430	40835387	3958	-	0	inside	34	RPL37
chr5	76326100	76326119	20	*	X0456	55109	76326210	76361058	34849	+	90	upstream	90	AGGF1
chr5	76326131	76326309	179	*	X0457	55109	76326210	76361058	34849	+	0	overlapStart	0	AGGF1
chr5	85913816	85913878	63	*	X0459	1350	85913784	85916583	2800	+	0	inside	31	COX7C
chr5	110427706	110428066	361	*	X0463	134430	110427870	110466200	38331	+	0	overlapStart	0	WDR36
chr5	114880728	114881025	298	*	X0466	56929	114856608	114880591	23984	-	136	upstream	136	FEM1C
chr5	114881040	114881061	22	*	X0467	56929	114856608	114880591	23984	-	448	upstream	448	FEM1C
chr5	132202318	132202385	68	*	X0471	2661	132196878	132202576	5699	-	0	inside	190	GDF9
chr5	132202318	132202385	68	*	X0471	27089	132202319	132204536	2218	+	0	overlapStart	0	UQCRQ
chr5	140027682	140027693	12	*	X0481	3550	140027384	140042065	14682	+	0	inside	297	IK
chr5	140027682	140027693	12	*	X0481	4695	140024948	140027370	2423	-	311	upstream	311	NDUFA2
chr5	140079962	140080008	47	*	X0482	153527	140080032	140086239	6208	+	23	upstream	23	ZMAT2
chr5	140700229	140700248	20	*	X0484	6879	140698057	140700351	2295	-	0	inside	102	TAF7
chr5	140700261	140700331	71	*	X0485	6879	140698057	140700351	2295	-	0	inside	19	TAF7
chr5	149829109	149829409	301	*	X0486	6208	149823792	149829319	5528	-	0	overlapStart	0	RPS14
chr5	149829665	149829787	123	*	X0487	6208	149823792	149829319	5528	-	345	upstream	345	RPS14
chr5	150138753	150138765	13	*	X0488	51164	150088309	150138657	50349	-	95	upstream	95	DCTN4
chr5	150284294	150284625	332	*	X0489	91975	150273954	150284545	10592	-	0	overlapStart	0	ZNF300
chr5	150284846	150284886	41	*	X0490	91975	150273954	150284545	10592	-	300	upstream	300	ZNF300
chr5	167913471	167913654	184	*	X0492	5917	167913463	167946309	32847	+	0	inside	7	RARS1
chr5	170814570	170814633	64	*	X0493	100500831	170813660	170813764	105	-	805	upstream	805	MIR3912
chr5	170814570	170814633	64	*	X0493	4869	170814708	170837888	23181	+	74	upstream	74	NPM1
chr5	170814647	170814660	14	*	X0494	100500831	170813660	170813764	105	-	882	upstream	882	MIR3912
chr5	170814647	170814660	14	*	X0494	4869	170814708	170837888	23181	+	47	upstream	47	NPM1
chr5	170814705	170814987	283	*	X0495	100500831	170813660	170813764	105	-	940	upstream	940	MIR3912
chr5	170814705	170814987	283	*	X0495	4869	170814708	170837888	23181	+	0	overlapStart	0	NPM1
chr5	170815418	170815721	304	*	X0496	100500831	170813660	170813764	105	-	1653	upstream	1653	MIR3912
chr5	171433926	171434124	199	*	X0498	23291	171288556	171433877	145322	-	48	upstream	48	FBXW11
chr5	176943814	176944153	340	*	X0503	51428	176938578	176943967	5390	-	0	overlapStart	0	DDX41
chr5	177433935	177434308	374	*	X0507	653316	177433967	177476088	42122	+	0	overlapStart	0	FAM153CP
chr5	177631457	177631493	37	*	X0508	3182	177631508	177638184	6677	+	14	upstream	14	HNRNPAB
chr5	177631510	177631646	137	*	X0509	3182	177631508	177638184	6677	+	0	inside	1	HNRNPAB
chr5	179499090	179499515	426	*	X0515	55819	179382474	179499109	116636	-	0	overlapStart	0	RNF130
chr5	180648963	180649240	278	*	X0521	90933	180650263	180662808	12546	+	1022	upstream	1022	TRIM41
chr5	180670730	180670922	193	*	X0522	10399	180663928	180670906	6979	-	0	overlapStart	0	RACK1
chr5	180670730	180670922	193	*	X0522	619570	180670314	180670376	63	-	353	upstream	353	SNORD95
chr5	180670730	180670922	193	*	X0522	619571	180668818	180668889	72	-	1840	upstream	1840	SNORD96A
chr6	3458232	3458243	12	*	X0530	63027	3269207	3456793	187587	-	1438	upstream	1438	SLC22A23
chr6	3458322	3458368	47	*	X0531	63027	3269207	3456793	187587	-	1528	upstream	1528	SLC22A23
chr6	3849181	3849212	32	*	X0532	26240	3849632	3851551	1920	+	419	upstream	419	FAM50B
chr6	7590443	7590591	149	*	X0535	154007	7590432	7612200	21769	+	0	inside	10	SNRNP48
chr6	13712538	13712553	16	*	X0536	10048	13621730	13711796	90067	-	741	upstream	741	RANBP9
chr6	24667323	24667373	51	*	X0539	51567	24650205	24667115	16911	-	207	upstream	207	TDP2
chr6	24667323	24667373	51	*	X0539	55856	24667263	24705295	38033	+	0	inside	59	ACOT13
chr6	24720411	24720452	42	*	X0540	81688	24705090	24719403	14314	-	1007	upstream	1007	C6orf62
chr6	26124628	26124787	160	*	X0541	8334	26124373	26124918	546	+	0	inside	254	H2AC6
chr6	26124628	26124787	160	*	X0541	8347	26123695	26124132	438	-	495	upstream	495	H2BC4
chr6	26199197	26199485	289	*	X0542	3013	26199012	26199521	510	-	0	inside	35	H2AC7
chr6	26199197	26199485	289	*	X0542	8343	26199787	26200216	430	+	301	upstream	301	H2BC7
chr6	26199197	26199485	289	*	X0542	8351	26197012	26199521	2510	-	0	inside	35	H3C4
chr6	26204774	26205115	342	*	X0543	8367	26204873	26205249	377	+	0	overlapStart	0	H4C5
chr6	26251907	26251936	30	*	X0544	8345	26251879	26252303	425	+	0	inside	27	H2BC9
chr6	26251907	26251936	30	*	X0544	8968	26250370	26250835	466	-	1071	upstream	1071	H3C7
chr6	26251968	26251990	23	*	X0545	8345	26251879	26252303	425	+	0	inside	88	H2BC9
chr6	26251968	26251990	23	*	X0545	8968	26250370	26250835	466	-	1132	upstream	1132	H3C7
chr6	26286633	26286872	240	*	X0546	8365	26285354	26285727	374	-	905	upstream	905	H4C8
chr6	27101006	27101213	208	*	X0548	8969	27100817	27101314	498	+	0	inside	188	H2AC11
chr6	27101006	27101213	208	*	X0548	8970	27100095	27100575	481	-	430	upstream	430	H2BC11
chr6	27792121	27792380	260	*	X0550	8363	27791903	27792258	356	+	0	overlapEnd	217	H4C11
chr6	27798850	27799030	181	*	X0551	8362	27798952	27799305	354	-	0	overlapEnd	274	H4C12
chr6	27833131	27833132	2	*	X0552	8332	27833107	27833576	470	+	0	inside	23	H2AC16
chr6	27860744	27860922	179	*	X0553	8336	27860477	27860963	487	-	0	inside	40	H2AC17
chr6	27860744	27860922	179	*	X0553	8348	27861203	27861669	467	+	280	upstream	280	H2BC17
chr6	34855744	34855820	77	*	X0576	23294	34857038	35085320	228283	+	1217	upstream	1217	ANKS1A
chr6	34855744	34855820	77	*	X0576	6882	34845555	34855848	10294	-	0	inside	27	TAF11
chr6	35436255	35436386	132	*	X0577	4736	35436178	35438558	2381	+	0	inside	76	RPL10A
chr6	35436418	35436449	32	*	X0578	4736	35436178	35438558	2381	+	0	inside	239	RPL10A
chr6	36562082	36562402	321	*	X0580	6428	36562090	36572244	10155	+	0	overlapStart	0	SRSF3
chr6	42847643	42847803	161	*	X0584	285855	42847671	42855668	7998	+	0	overlapStart	0	RPL7L1
chr6	52860329	52860590	262	*	X0591	2941	52842746	52860178	17433	-	150	upstream	150	GSTA4
chr6	74230026	74231014	989	*	X0594	1915	74225473	74230755	5283	-	0	overlapStart	0	EEF1A1
chr6	75953446	75953536	91	*	X0595	1347	75947391	75953644	6254	-	0	inside	107	COX7A2
chr6	79944618	79944649	32	*	X0596	9324	79910962	79944455	33494	-	162	upstream	162	HMGN3
chr6	86388117	86388149	33	*	X0600	26799	86387012	86387086	75	-	1030	upstream	1030	SNORD50A
chr6	86388117	86388149	33	*	X0600	692088	86387307	86387377	71	-	739	upstream	739	SNORD50B
chr6	86388163	86388567	405	*	X0601	26799	86387012	86387086	75	-	1076	upstream	1076	SNORD50A
chr6	86388163	86388567	405	*	X0601	387066	86386725	86388451	1727	-	0	overlapStart	0	SNHG5
chr6	86388163	86388567	405	*	X0601	692088	86387307	86387377	71	-	785	upstream	785	SNORD50B
chr6	125282951	125283085	135	*	X0612	154214	125283862	125404661	120800	+	776	upstream	776	RNF217
chr6	131949169	131949268	100	*	X0615	5169	131949582	132068550	118969	+	313	upstream	313	ENPP3
chr6	131949169	131949268	100	*	X0615	9439	131895106	131949379	54274	-	0	inside	110	MED23
chr6	133135596	133135925	330	*	X0618	594839	133136446	133138490	2045	+	520	upstream	520	SNORA33
chr6	133135596	133135925	330	*	X0618	6206	133135708	133138703	2996	+	0	overlapStart	0	RPS12
chr6	136610631	136610711	81	*	X0619	9774	136578001	136610989	32989	-	0	inside	277	BCLAF1
chr6	136610865	136610897	33	*	X0620	9774	136578001	136610989	32989	-	0	inside	91	BCLAF1
chr6	139695562	139695787	226	*	X0626	10370	139693392	139695787	2396	-	0	inside	0	CITED2
chr7	191665	191881	217	*	X0645	56975	192969	300740	107772	+	1087	upstream	1087	FAM20C
chr7	2393966	2394289	324	*	X0651	8662	2394474	2420377	25904	+	184	upstream	184	EIF3B
chr7	5013613	5013742	130	*	X0652	441191	5013616	5037800	24185	+	0	overlapStart	0	RNF216P1
chr7	5111454	5111630	177	*	X0655	389458	5111691	5112854	1164	+	60	upstream	60	RBAKDN
chr7	5570175	5570177	3	*	X0657	60	5566779	5570232	3454	-	0	inside	54	ACTB
chr7	5821413	5821486	74	*	X0658	54476	5659672	5821361	161690	-	51	upstream	51	RNF216
chr7	5821542	5821560	19	*	X0659	54476	5659672	5821361	161690	-	180	upstream	180	RNF216
chr7	23636770	23636851	82	*	X0663	90693	23636998	23684327	47330	+	146	upstream	146	CCDC126
chr7	25164750	25165003	254	*	X0665	54205	25158270	25164980	6711	-	0	overlapStart	0	CYCS
chr7	26239773	26240550	778	*	X0666	11335	26240831	26253227	12397	+	280	upstream	280	CBX3
chr7	26239773	26240550	778	*	X0666	3181	26229556	26240413	10858	-	0	overlapStart	0	HNRNPA2B1
chr7	26240572	26240582	11	*	X0667	11335	26240831	26253227	12397	+	248	upstream	248	CBX3
chr7	26240572	26240582	11	*	X0667	3181	26229556	26240413	10858	-	158	upstream	158	HNRNPA2B1
chr7	45026080	45026084	5	*	X0670	285958	45022627	45026259	3633	-	0	inside	174	SNHG15
chr7	45026080	45026084	5	*	X0670	677798	45024977	45025109	133	-	970	upstream	970	SNORA9
chr7	45150933	45151077	145	*	X0671	9238	45139699	45151346	11648	-	0	inside	268	TBRG4
chr7	56174428	56174481	54	*	X0677	51142	56169266	56174187	4922	-	240	upstream	240	CHCHD2
chr7	66385783	66386033	251	*	X0688	55069	66386203	66423538	37336	+	169	upstream	169	TMEM248
chr7	87563815	87563907	93	*	X0690	53616	87563566	87832204	268639	+	0	inside	248	ADAM22
chr7	94287118	94287147	30	*	X0692	8910	94214536	94285521	70986	-	1596	upstream	1596	SGCE
chr7	99517254	99517291	38	*	X0696	89122	99488030	99517223	29194	-	30	upstream	30	TRIM4
chr7	99698101	99698187	87	*	X0697	9179	99699130	99707942	8813	+	942	upstream	942	AP4M1
chr7	100472517	100472926	410	*	X0698	51593	100472701	100486285	13585	+	0	overlapStart	0	SRRT
chr7	100797493	100797603	111	*	X0699	1174	100797686	100804557	6872	+	82	upstream	82	AP1S1
chr7	100895587	100895627	41	*	X0700	51024	100882893	100895593	12701	-	0	overlapStart	0	FIS1
chr7	121944943	121945031	89	*	X0703	389549	121941448	121944565	3118	-	377	upstream	377	FEZF1
chr7	121945731	121945743	13	*	X0704	389549	121941448	121944565	3118	-	1165	upstream	1165	FEZF1
chr7	121945762	121945798	37	*	X0705	389549	121941448	121944565	3118	-	1196	upstream	1196	FEZF1
chr7	130132207	130132229	23	*	X0709	317751	130126898	130131013	4116	-	1193	upstream	1193	MESTIT1
chr7	130132247	130132369	123	*	X0710	317751	130126898	130131013	4116	-	1233	upstream	1233	MESTIT1
chr7	135662191	135662307	117	*	X0711	767558	135611503	135662204	50702	-	0	overlapStart	0	LUZP6
chr7	138915892	138916142	251	*	X0718	254048	138916231	138992982	76752	+	88	upstream	88	UBN2
chr7	139025339	139025632	294	*	X0719	100996928	139025878	139108203	82326	+	245	upstream	245	FMC1-LUC7L2
chr7	139025339	139025632	294	*	X0719	154791	139025878	139031065	5188	+	245	upstream	245	FMC1
chr7	139025339	139025632	294	*	X0719	51631	139025105	139108203	83099	+	0	inside	233	LUC7L2
chr7	156432583	156432598	16	*	X0730	140545	156433353	156469820	36468	+	754	upstream	754	RNF32
chr7	156432639	156432658	20	*	X0731	140545	156433353	156469820	36468	+	694	upstream	694	RNF32
chr8	22926436	22926537	102	*	X0742	8795	22877648	22926700	49053	-	0	inside	162	TNFRSF10B
